0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,6.0,173.0,0.0,0.0,0.0,0.0,0.0,5.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,6.0,0.0,0.0,0.0,5.0,255.0,0.0,0.0,0.0,0.0,0.0,116.0,107.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,30.0,0.0,0.0,0.0,0.0,216.0,0.0,255.0,0.0,0.0,0.0,11.0,114.0,0.0,80.0,11.0,0.0,0.0,12.0,75.0,0.0,134.0,2.0,0.0,0.0,0.0,46.0,33.0,131.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,255.0,6.0,0.0,0.0,0.0,0.0,6.0,254.0,9.0,0.0,0.0,0.0,0.0,187.0,255.0,9.0,0.0,0.0,0.0,0.0,0.0,255.0,8.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,255.0,89.0,0.0,210.0,0.0,0.0,255.0,5.0,0.0,0.0,156.0,0.0,0.0,92.0,158.0,0.0,73.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,238.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,1
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,255.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,24.0,255.0,255.0,0.0,0.0,0.0,9.0,255.0,234.0,247.0,250.0,0.0,0.0,88.0,251.0,5.0,73.0,255.0,6.0,0.0,183.0,253.0,255.0,251.0,86.0,0.0,0.0,0.0,249.0,233.0,111.0,1.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,6.0,0.0,0.0,0.0,0.0,54.0,9.0,225.0,0.0,0.0,0.0,2.0,170.0,0.0,0.0,42.0,0.0,0.0,9.0,0.0,2.0,138.0,0.0,0.0,0.0,3.0,255.0,255.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,241.0,228.0,0.0,0.0,0.0,0.0,255.0,8.0,255.0,5.0,0.0,0.0,5.0,109.0,0.0,175.0,5.0,0.0,0.0,0.0,120.0,0.0,184.0,4.0,0.0,0.0,7.0,255.0,149.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,255.0,3.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,8.0,0.0,0.0,0.0,0.0,0.0,234.0,40.0,0.0,0.0,0.0,0.0,0.0,70.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,6.0,0.0,0.0,0.0,0.0,0.0,97.0,10.0,0.0,0.0,0.0,0.0,0.0,95.0,6.0,0.0,0.0,0.0,0.0,0.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,98.0,240.0,4.0,0.0,0.0,156.0,0.0,62.0,254.0,127.0,0.0,3.0,255.0,5.0,0.0,4.0,253.0,3.0,0.0,204.0,191.0,2.0,2.0,255.0,4.0,0.0,0.0,243.0,255.0,241.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,152.0,2.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,5.0,0.0,0.0,0.0,0.0,0.0,255.0,6.0,0.0,0.0,0.0,0.0,2.0,255.0,3.0,0.0,0.0,0.0,0.0,1.0,255.0,6.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,235.0,255.0,0.0,0.0,0.0,0.0,148.0,4.0,7.0,97.0,0.0,0.0,4.0,254.0,0.0,0.0,255.0,0.0,0.0,0.0,52.0,0.0,0.0,119.0,0.0,0.0,0.0,192.0,212.0,215.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1
0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,238.0,10.0,0.0,0.0,0.0,0.0,4.0,254.0,2.0,0.0,0.0,0.0,0.0,7.0,233.0,7.0,0.0,0.0,0.0,0.0,9.0,232.0,7.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,6.0,0.0,0.0,0.0,0.0,9.0,255.0,0.0,0.0,0.0,0.0,0.0,2.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,4.0,0.0,0.0,0.0,0.0,7.0,122.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,97.0,255.0,0.0,0.0,0.0,0.0,0.0,221.0,255.0,162.0,5.0,0.0,0.0,39.0,68.0,0.0,21.0,255.0,2.0,0.0,0.0,211.0,0.0,3.0,178.0,0.0,0.0,0.0,63.0,255.0,255.0,67.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1
0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,48.0,239.0,244.0,0.0,0.0,0.0,8.0,169.0,0.0,8.0,80.0,0.0,0.0,0.0,125.0,0.0,12.0,148.0,0.0,0.0,4.0,187.0,0.0,12.0,76.0,0.0,0.0,0.0,55.0,255.0,255.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,6.0,0.0,0.0,0.0,0.0,6.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,75.0,0.0,0.0,0.0,0.0,0.0,29.0,255.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,8.0,0.0,0.0,0.0,0.0,0.0,185.0,3.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,0.0,0.0,0.0,0.0,0.0,87.0,61.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0,66.0,78.0,11.0,0.0,0.0,7.0,52.0,0.0,0.0,209.0,6.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,8.0,7.0,85.0,0.0,0.0,0.0,46.0,128.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,255.0,20.0,0.0,0.0,0.0,5.0,254.0,174.0,82.0,0.0,0.0,0.0,175.0,0.0,119.0,0.0,0.0,0.0,3.0,255.0,0.0,165.0,0.0,0.0,0.0,6.0,255.0,255.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,39.0,152.0,93.0,0.0,0.0,0.0,0.0,255.0,2.0,167.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,94.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,186.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,4.0,0.0,0.0,0.0,0.0,0.0,207.0,3.0,0.0,0.0,0.0,0.0,0.0,255.0,2.0,0.0,0.0,0.0,0.0,5.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,252.0,143.0,0.0,0.0,0.0,6.0,91.0,36.0,0.0,0.0,0.0,0.0,0.0,115.0,3.0,10.0,55.0,0.0,0.0,0.0,255.0,0.0,143.0,2.0,0.0,0.0,3.0,204.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,53.0,255.0,0.0,0.0,0.0,0.0,0.0,238.0,12.0,0.0,0.0,0.0,2.0,255.0,77.0,0.0,0.0,0.0,0.0,7.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,92.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,4.0,0.0,0.0,0.0,0.0,5.0,255.0,2.0,0.0,0.0,0.0,0.0,1.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,227.0,254.0,0.0,0.0,0.0,6.0,255.0,13.0,200.0,3.0,0.0,0.0,219.0,0.0,2.0,197.0,0.0,0.0,4.0,83.0,0.0,248.0,2.0,0.0,0.0,31.0,255.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,255.0,195.0,0.0,0.0,0.0,0.0,54.0,227.0,139.0,0.0,0.0,0.0,1.0,255.0,1.0,0.0,68.0,0.0,0.0,6.0,252.0,13.0,192.0,0.0,0.0,0.0,0.0,134.0,250.0,202.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,3.0,255.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,205.0,6.0,0.0,0.0,0.0,152.0,246.0,255.0,255.0,1.0,0.0,16.0,255.0,17.0,57.0,255.0,5.0,0.0,250.0,226.0,255.0,245.0,4.0,0.0,0.0,60.0,229.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,1.0,255.0,5.0,0.0,0.0,0.0,0.0,3.0,112.0,0.0,0.0,0.0,0.0,0.0,20.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,2.0,0.0,0.0,0.0,0.0,0.0,242.0,6.0,0.0,0.0,0.0,0.0,0.0,255.0,2.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,9.0,0.0,0.0,0.0,0.0,2.0,255.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,255.0,140.0,0.0,0.0,0.0,7.0,230.0,0.0,0.0,0.0,0.0,0.0,7.0,254.0,0.0,0.0,83.0,0.0,0.0,8.0,105.0,0.0,13.0,0.0,0.0,0.0,0.0,181.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,255.0,166.0,1.0,0.0,0.0,26.0,137.0,11.0,0.0,252.0,0.0,0.0,206.0,11.0,0.0,0.0,6.0,0.0,0.0,251.0,0.0,0.0,5.0,227.0,0.0,0.0,0.0,182.0,148.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,5.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,11.0,0.0,0.0,0.0,0.0,2.0,255.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252.0,11.0,0.0,0.0,0.0,6.0,255.0,58.0,248.0,5.0,0.0,0.0,0.0,147.0,0.0,0.0,144.0,0.0,0.0,9.0,205.0,0.0,0.0,154.0,0.0,0.0,0.0,236.0,101.0,255.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,255.0,3.0,0.0,0.0,0.0,0.0,3.0,255.0,10.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,220.0,255.0,0.0,0.0,0.0,2.0,255.0,127.0,0.0,177.0,10.0,0.0,204.0,0.0,38.0,0.0,38.0,2.0,0.0,207.0,0.0,0.0,0.0,255.0,3.0,0.0,1.0,255.0,213.0,223.0,11.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,3.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,207.0,0.0,0.0,0.0,0.0,28.0,255.0,255.0,241.0,198.0,0.0,0.0,255.0,15.0,0.0,3.0,255.0,0.0,0.0,135.0,196.0,0.0,9.0,255.0,0.0,0.0,0.0,142.0,255.0,255.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,150.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,8.0,0.0,0.0,0.0,0.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,99.0,202.0,54.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,5.0,0.0,0.0,66.0,8.0,0.0,0.0,226.0,0.0,0.0,72.0,11.0,0.0,0.0,242.0,0.0,0.0,0.0,195.0,87.0,158.0,11.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,154.0,5.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,12.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,254.0,193.0,0.0,0.0,0.0,0.0,12.0,255.0,181.0,216.0,0.0,0.0,5.0,236.0,2.0,0.0,255.0,0.0,0.0,0.0,255.0,0.0,188.0,58.0,0.0,0.0,0.0,243.0,255.0,129.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,4.0,0.0,0.0,0.0,0.0,0.0,144.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,54.0,255.0,1.0,0.0,0.0,0.0,8.0,137.0,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,0.0,0.0,0.0,207.0,185.0,152.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1
0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,159.0,255.0,255.0,0.0,0.0,0.0,0.0,155.0,0.0,194.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,60.0,0.0,0.0,155.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,223.0,103.0,255.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,4.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,3.0,255.0,3.0,0.0,0.0,0.0,0.0,2.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,224.0,199.0,0.0,0.0,0.0,0.0,198.0,0.0,97.0,8.0,0.0,0.0,0.0,133.0,0.0,13.0,195.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,6.0,250.0,181.0,125.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,9.0,0.0,0.0,0.0,0.0,0.0,141.0,5.0,0.0,0.0,0.0,0.0,0.0,141.0,5.0,0.0,0.0,0.0,0.0,0.0,142.0,6.0,0.0,0.0,0.0,0.0,0.0,141.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,33.0,236.0,13.0,0.0,0.0,0.0,114.0,117.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,255.0,199.0,56.0,0.0,0.0,255.0,26.0,165.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,237.0,198.0,0.0,0.0,0.0,1.0,231.0,0.0,2.0,109.0,0.0,0.0,0.0,0.0,0.0,2.0,145.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,77.0,0.0,108.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,30.0,1.0,0.0,0.0,0.0,243.0,0.0,255.0,0.0,0.0,0.0,0.0,255.0,0.0,178.0,0.0,0.0,0.0,0.0,206.0,1.0,239.0,6.0,0.0,0.0,0.0,191.0,255.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,36.0,167.0,28.0,0.0,0.0,0.0,8.0,255.0,2.0,238.0,9.0,0.0,0.0,0.0,146.0,0.0,189.0,0.0,0.0,0.0,0.0,67.0,0.0,255.0,4.0,0.0,0.0,0.0,223.0,155.0,255.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,2.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,1.0,226.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,9.0,192.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,47.0,151.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,255.0,4.0,0.0,0.0,0.0,0.0,114.0,21.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,108.0,0.0,0.0,0.0,0.0,0.0,90.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,9.0,0.0,0.0,0.0,0.0,0.0,248.0,8.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,249.0,111.0,0.0,0.0,0.0,5.0,229.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,7.0,0.0,0.0,0.0,0.0,5.0,255.0,0.0,1.0,0.0,0.0,5.0,255.0,255.0,133.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,34.0,255.0,1.0,0.0,0.0,0.0,0.0,215.0,11.0,0.0,0.0,0.0,0.0,255.0,7.0,130.0,0.0,0.0,0.0,0.0,102.0,9.0,255.0,0.0,0.0,0.0,1.0,193.0,255.0,4.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,1
